GENE	PROTEIN	ORGANISM	ACC#	MW_(DA)	pI	MODIFICATION SUMMARY
SNRK	SNRK	human	Q9NRH2	84,276	6.62	K-ac, K-ub, R-m1, S-p, T-p, Y-p
SRPK1	SRPK1	human	Q96SB4	74,325	5.81	K-ac, K-ub, R-m1, S-p, T-p, Y-p
SRPK2	SRPK2	human	P78362	77,527	4.87	K-ac, K-ub, R-m1, S-p, T-p, Y-p
SRPK3	SRPK3	human	Q9UPE1	62,014	6.83	K-ac, K-ub, R-m1, S-p, T-p
TSSK6	SSTK	human	Q9BXA6	30,331	9.24	S-p
STK33	STK33	human	Q9BYT3	57,831	6.6	K-ac, K-ub, S-p, T-p, Y-p
STK39	STLK3	human	Q9UEW8	59,474	5.92	K-ac, K-m1, K-ub, R-m1, S-p, T-p, Y-p
MAP3K7	TAK1	human	O43318	67,196	6.69	K-ac, K-ub, S-gl, S-p, T-p, Y-p
TAOK1	TAO1	human	Q7L7X3	116,070	7.3	K-ac, K-ub, R-m1, S-p, T-p, Y-p
TAOK2	TAO2	human	Q9UL54	138,251	6.84	K-ac, K-ub, R-m1, S-p, T-p, Y-p
TAOK3	TAO3	human	Q9H2K8	105,406	6.83	K-ac, K-ub, S-p, T-p, Y-p
TBK1	TBK1	human	Q9UHD2	83,642	6.32	K-ac, K-ub, R-me, S-p, T-p, Y-p
TGFBR1	TGFBR1	human	P36897	55,960	7.51	K-ub, S-p, T-p, Y-p
TGFBR2	TGFBR2	human	P37173	64,568	5.6	K-ne, K-ub, S-gl, S-p, T-ga, T-p, Y-p
TLK1	TLK1	human	Q9UKI8	86,700	8.88	K-ac, K-ub, S-p, T-p
TLK2	TLK2	human	Q86UE8	87,661	8.65	K-ac, K-ub, S-p, T-p, Y-p
TNIK	TNIK	human	Q9UKE5	154,943	6.7	K-ac, K-ub, R-m1, S-gl, S-p, T-gl, T-p, Y-p
TSSK1B	TSSK1	human	Q9BXA7	41,618	7.6	K-ac, S-p, Y-p
TSSK2	TSSK2	human	Q96PF2	40,939	9.02	K-ac, S-p, Y-p
TTBK1	TTBK1	human	Q5TCY1	142,737	5.46	K-ac, K-sm, K-ub, R-m1, S-p, T-p, Y-p
TTBK2	TTBK2	human	Q6IQ55	137,412	6.54	K-ac, K-sm, K-ub, S-p, T-p, Y-p
TTK	TTK	human	P33981	97,072	8.41	K-ac, K-m1, K-me, K-sm, K-ub, R-m2, S-p, T-p, Y-p
ULK1	ULK1	human	O75385	112,631	9.03	K-ac, K-ub, R-m1, S-p, T-gl, T-p
ULK2	ULK2	human	Q8IYT8	112,694	8.84	K-ac, R-m2, S-p, T-gl, T-p, Y-p
VRK1	VRK1	human	Q99986	45,476	9.02	K-ac, K-m1, K-sm, K-ub, S-p, T-p, Y-p
VRK2	VRK2	human	Q86Y07	58,141	8.97	K-ac, K-m1, K-ub, S-p, T-p, Y-p
WNK1	WNK1	human	Q9H4A3	250,794	5.94	D-ca, K-ac, K-ub, R-m1, S-p, T-p, Y-p
WNK3	WNK3	human	Q9BYP7	198,416	5.77	K-ac, R-m1, S-gl, S-p, T-p, Y-p
WNK4	WNK4	human	Q96J92	134,739	5.36	K-m1, K-ub, R-m1, S-p, T-p, Y-p
STK32B	YANK2	human	Q9NY57	47,883	7.63	S-p, Y-p
STK32C	YANK3	human	Q86UX6	54,994	6.16	K-ub, R-m1, S-p, T-p, Y-p
STK25	YSK1	human	O00506	48,112	6.27	K-ub, S-p, T-p, Y-p
MAP3K19	YSK4	human	Q56UN5	150,537	6.61	K-ac, K-ub, S-p, T-p
MAP3K20	ZAK	human	Q9NYL2	91,155	7.9	K-ac, K-m1, K-ub, R-m1, R-m2, S-p, T-p, Y-p
